article_id	article_title	author_id	article_author	author_type	publication_id	publication_title	issue_number	issue_year	issue_month	article_text
1	Filistin Devrimi'nin Sorunları ve Eylül Dersleri	1	Nayif Havatme	Author	1	Aylık Ant Dergisi	13	1968		
2	Fateh Bazı 'Büyük' Devletlerin Filistin Devrimini Boğma Tertibini Lanetliyor				3	Proleter Devrimci Aydınlık	10-24	1968		
3	Yaşasın Filistin ve Bütün Orta-Doğu Halklarının Devrimci Savaşı				2	Aydınlık Sosyalist Dergi	24	1968		
4	Filistin İhtilalini Kimse Durduramaz!				3	Proleter Devrimci Aydınlık	10-24	1968		
5	Filistin İkinci Dünya Kongresi				3	Proleter Devrimci Aydınlık	10-24	1968		
6	Filistin Araplarının Millî Kurtuluş Savaşı	2	Erdoğan Güçbilmez	Author	2	Aydınlık Sosyalist Dergi	3	1968		
8	Küçük Burjuvazinin Hezimeti ve Filistin Halk Savaşı	3	Mehmet Emin Bozarslan	Translator	1	Aylık Ant Dergisi	2	1968		
9	Küçük Burjuvazinin Hezimeti ve Filistin Halk Savaşı	1	Nayif Havatme	Author	1	Aylık Ant Dergisi	2	1968		
10	El Feth’e Niye Gittim?	4	Yusuf Aslan	Author	4	Haftalık Ant Dergisi	165	1968		"Bugün Ortadoğu'da Amerikan imperyalizminin ileri karakolu olan İsrail'e karşı Arap halkları anti-emperyalist bir savaş yürütmektedirler. Bu savaş Asya’da, Afrika'da, Latin Amerika'da ve bütün dünyada emperyalizmin baskısı altında ezilen halkların yürüttüğü devrimci kavganın bir parcasi.

Emperyalizme karşı yürütülen savaş, bütün dünya halklarının ortak savaşıdır. Vletnam'da, Ortadoğu'da, Latin Amerika'da emperyalizme karşı sıkılan her kurşun, aynızamanda Türkiye halkının kurtuluşu için sıkılmaktadır.

Günümüz koşullarında, özellikle emperyalizmin bir sıcak savaş bölgesi haline getirdiği Ortadoğu'da da bütün halkların, Türkiye, İran, Arap, Kıbrıs, Kürt halklarının bir antiemperyalist cephe kurmaları, ORTADOĞU DEVRİMCİ ÇEMBERİ'ni oluşturmaları, emperyalizme karşı kahredici darbenin indirilmesinin başlıca şartlarından biridir.

Bu yüzden Ortadoğu'da senelerden beri verilmekte olan devrimci kavganın pratiğinden geçmek ve ezilen Arap halklarınin kurtuluş mücadelesine bir nefer olarak katkıda bulunmak için El Feth'e gittim.

El Feth, Ortadağu'da halk savaşıni yürüten örgütlerin en güçlülerinden biridir. Bu örgüt, emperyalizme karşı verilen savaşta Arap halklarını silahlı mücadele içinde örgütleyip eğiten, marksist-leninist devrimcilerin yönetim organlarında bulunduğu birsleşik cephe örgütüdür. Örgüt işçi-köylünün büyük ölcüde ittifakını gerçeklestirmiş, kücük burjuvazinin bütün kesimlerinin sıcak savaş içinde desteğini sağlamıstır. Ayrıca, Ortadoğu'daki diğer devrimci örgütlerle birlikte gerici Arap rejimlerini de Filistin halkının silahlı gücü karşısında, görünüşte de olsa, hareketi desteklemek zorunda bırakmıştır.

EI Feth'te, diğer ülkelerden gelen ve Ortadoğu'daki halk savaşını emperyalizme karşı verilen savaşın bir parçası olarak gören, orada emperyalizme karşı sıkılan her kurşunun kendi halkının kurtuluşu için sıkıldığını bilen, devrimciler eğitim görür. 13 yaşındaki çocuğundan 80 yaşındaki ihtiyarına kadar halk savaşçılarıyla birlikte omuz omuza savaşa girer. Ve devrimciler, bu halk savaşinda 13 yaşındaki devrimcinin, ezilen halkaların kurtuluşu için mücadele ettiğinin bilincinde olduğunu görür. Halk savaşının kudretini ve emperyalistlerin halk savaşından korkmakta ne kadar haklı olduğunu görür, Halkın silahlı mücadele içinde nasıl örgütlendiğini, bilinçlendiğini ve emperyalizme karşi nasıl başarıyla savaştığını görür.

Bir daha inanır ki, emperyalizmin barbarlıkları, üstün silahli gücü karşısında dünya halklarının kararlı mücadeleleri sürecek ve mutlaka kalıcı zaferlerle neticelenecektir.

## Emperyalizme Karşı Dövüşmek Suç Değildir!

Türkiye'de sırtını emperyalizme dayamış işbirlikçi iktidar, Arap halklarınin kurtuluş mücadelesine saygı duyan Türkiye halklarına şirin gözükmek için Kahire’ye parlamento heyetleri yollarken Arap halklarının haklı mücadelesine bilfiil katılan Turkiye'li devrimcilere türlü işkenceler ve tertipler yapmaktadır. Arap halklarıyla birlikte emperyalizme karşi savaşmanın suç olmadığını, bu mücadeleyi suçmuç gibi göstermek için yapılan tertipleri ve devrimcilere yapılan işkenceleri açıklamak isterim.

Memleketime döndüğümnden birbuçuk ay sonra izinsiz yurt dışına çıktığım gerekçesiyle Kargamış istasyonunda, 1 Şubat'ta yakalandım. Önce jandarma karakolunda, sonra Gaziantep Emniyeti'nde olmak üzere, dört gün sabahlara kadar işkence altında sorgum yapıldı. İşkencelerin en halifi, saatlerce süren falaka, gözlere ışık tutmak, saç
yolmak idi...

Hakim sınıflar artık şunu anlamalıdır ki, ne tür işkenceler yapılırsa, ne tür tertipler hazırlanırsa hazırlansın, devrimciler yılmayacak ve haklı kavgalarını sonuna dek sürdürecektir. Türkiye'deki devrimcileri ve devrimci kavgayı Türkiye halklarının gözlerinden düşürmek için yapılan son tertiplerden biri de Diyarbakır Olayı'dır. Memleketlerine dönen devrimciler, birbir Diyarbakır Tıp Fakültesi'ne sabotaj yapacakları gerekçesiyle tutuklanıyorlar. Maksat açıktır: Devrimcileri maceracı, anarşist olarak tanıtmak, ve Doğuda zorlukla kurulan Tıp Fakültesi'ne sabotaj yapılacağı söylentisiyle Doğu halkını Arap halklarının haklı mücadelesine karşı kuşkuya düşürmek, Kürt ve Türk halklarının kardeşliğine nifak sokmaktır.

Bu oyunun düzenleyicileri — hakim çevreler tarafından açıklıkla bilinmelidir.

SAVAŞIMIZ, ÇAĞIMIZIN YÜZKARASI EMPERYALİZME VE ONUN
İŞBİRLİKÇİLERİNE KARŞIDIR. EZİLEN DÜNYA HALKLARININ DİRENİŞİNİN BİR PARÇASIDIR.

VE EMPERYALİZM, ORTADOĞU'DAN KOVULANA, DÜNYADAN YOKOLANA KADAR SÜRECEKTİR."
11	Orta Doğuda Fedayi Harekatı ve Filistin Demokratik Halk Kurtuluş Cephesi	5	A. Kerim	Author	2	Aydınlık Sosyalist Dergi	19	1968		
12	Arap Halklarının Kurtuluş Mücadelesini Hiçbir Güç Durduramıyacaktır				3	Proleter Devrimci Aydınlık	9-23	1968		
13	Ortadoğu ve El Fetih				2	Aydınlık Sosyalist Dergi	1	1968		
