URL	Day	Month	Year	magazine_title		Vol.	#	Section	Kicker	article_title	Translator (if any)	article_authors
https://www.tustav.org/sureli-yayinlar-arsivi/aydinlik/	-	11	1968	Ayd?nl?k	Sosyalist Dergi	-	1		Ayd?nl?k Görü?lerini Aç?kl?yor	Dünya Türkiye ve Devrimci Mücadele		Ayd?nl?k Dergisi Kurucular?
https://www.tustav.org/sureli-yayinlar-arsivi/kurtulus-yolu/	1	12	1968	Kurtulu? Yolu	Halk Gazetesi	1	1	Dünya'da	Halklar Kurtulu? Yolunda	Arap-?srail Çat??mas?		Minu ?nkaya
https://www.tustav.org/sureli-yayinlar-arsivi/kurtulus-yolu/	15	12	1968	Kurtulu? Yolu	Halk Gazetesi	1	2	Dünya'da	Halklar Kurtulu? Yolunda	M?s?rda Kar???kl?k		
https://www.tustav.org/sureli-yayinlar-arsivi/kurtulus-yolu/	15	12	1968	Kurtulu? Yolu	Halk Gazetesi	1	2	Dünya'da	Halklar Kurtulu? Yolunda	Ürdün		
https://www.tustav.org/sureli-yayinlar-arsivi/kurtulus-yolu/	1	1	1969	Kurtulu? Yolu	Halk Gazetesi	1	3	Dünya'da	Halklar Kurtulu? Yolunda	Ürdün		
https://www.tustav.org/sureli-yayinlar-arsivi/aydinlik/	-	3	1970	Ayd?nl?k	Sosyalist Dergi	-	17	Ayd?nl?k'ta Dünya ve Türkiye		El Fetihe Kat?lan Gençlerin Bildirisi		['Teoman Ermete',  'Ercan Enç',  'Hüseyin ?nan', 'Atilla Keskin',  'Kadir Manga',  'Müfit Özde?',  'Alpaslan Özdo?ru', 'Tuncer Sümer',  'Hamit Yakup',  'Ali Tenk',  'B. (Bahtiyar) Emanet']
https://www.tustav.org/sureli-yayinlar-arsivi/aydinlik/	-	3	1970	Proleter Devrimci Ayd?nl?k		-	Mar/17	Ayd?nl?k'ta Dünya ve Türkiye		Proletaryan?n Devrimci Partilerinin Önderli?inde Dünya Halklar?n?n Mücadeleleri H?zla Geli?iyor		
https://www.tustav.org/sureli-yayinlar-arsivi/kurtulus-yolu/	5	6	1970	Kurtulu? Yolu		2	9			Emperyalizmin ve Kapitalizm Mutlaka Yok Edilecektir		
https://www.tustav.org/sureli-yayinlar-arsivi/aydinlik/	-	7	1970	Ayd?nl?k	Sosyalist Dergi	-	21	Ayd?nl?k'ta Dünya ve Türkiye	Ortado?u'da	Ürdün		
https://www.tustav.org/sureli-yayinlar-arsivi/kurtulus/	-	8	1970	Kurtulu?		1	4			Halk Sava??		
https://www.tustav.org/sureli-yayinlar-arsivi/aydinlik/	-	9	1970	Ayd?nl?k	Sosyalist Dergi	-	23	Ayd?nl?k'ta Dünya ve Türkiye	Orta Do?u	Yürütülen Pazarl?klar		
https://www.tustav.org/sureli-yayinlar-arsivi/disk-dergisi/	1	10	1970	D?SK		1	3		Ürdün'de halk sava??	Uyanan Arap halklar? emperyalizmi mutlaka yenilgiye u?ratacakt?r 		
https://www.tustav.org/sureli-yayinlar-arsivi/aydinlik/	-	10	1970	Ayd?nl?k	Sosyalist Dergi	-	24	Ayd?nl?k'ta Dünya ve Türkiye		Ya?as?n Filistin ve Bütün Orta-Do?u Halklar?n?n Devrimci Sava??		
https://www.tustav.org/sureli-yayinlar-arsivi/aydinlik/	-	10	1970	Proleter Devrimci Ayd?nl?k		-	Oct/24	Ayd?nl?k'ta Dünya ve Türkiye		Filistin ?htilalini Kimse Durduramaz!		
https://www.tustav.org/sureli-yayinlar-arsivi/aydinlik/	-	10	1970	Proleter Devrimci Ayd?nl?k		-	Oct/24	Ayd?nl?k'ta Dünya ve Türkiye		Filistin ?kinci Dünya Kongresi		
https://www.tustav.org/sureli-yayinlar-arsivi/kurtulus/	-	10	1970	Kurtulu?		1	5		Emperyalistieri ve U?aklar?n? Mahvedece?i Güne Kadar	Arap Halklar?n?n Sava?? Devam Edecek		
https://www.tustav.org/sureli-yayinlar-arsivi/kurtulus/	-	10	1970	Kurtulu?		1	5		Filistinli Sava?c?lar Hayk?r?yor	Ya ?stiklal ya Ölüm!		
https://www.tustav.org/sureli-yayinlar-arsivi/ant-dergisi/	-	1	1971	Ant	Sosyalist Teori ve Eylem Dergisi	-	182-9	Ortado?u Devrimci Çemberi - I		Emperyalizmin Ma?as? S?yonizm'i ?yi Tan?yal?m?		Faruk Pekin
https://www.tustav.org/sureli-yayinlar-arsivi/ant-dergisi/	-	2	1971	Ant	Sosyalist Teori ve Eylem Dergisi	-	183-10	Ortado?u Devrimci Çemberi - II		Ortado?u'da Sosyalist Mücadele ve Kömünist Partiler		Faruk Pekin
https://www.tustav.org/sureli-yayinlar-arsivi/ant-dergisi/	-	3	1971	Ant	Sosyalist Teori ve Eylem Dergisi	-	184-11	Ortado?u Devrimci Çemberi - III	Ortado?u'da Sosyalist Mücadelerin Sorunlar?	Ortado?u Halklar? Yenecektir		Faruk Pekin
https://www.tustav.org/sureli-yayinlar-arsivi/ant-dergisi/	-	5	1971	Ant	Sosyalist Teori ve Eylem Dergisi	-	186-13		FDHKC'nin Filistin'deki Son Durum Üzerine Görü?ü	Filistin Devrimi'nin Sorunlar? ve Eylül Dersleri		(Nayif Havatme)
